id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
Cognitive-V-01,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Pilih kata yang paling tepat melengkapi hubungan: Buku : Membaca = Garpu : ...,SINGLE_CHOICE,SINGLE_CHOICE_4,Makan||Memotong||Memasak||Menulis,1,1,1,MEDIUM
Cognitive-V-02,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Manakah pasangan kata yang memiliki hubungan paling mirip dengan PANAS : DINGIN?,SINGLE_CHOICE,SINGLE_CHOICE_4,Tinggi : Besar||Cepat : Lambat||Keras : Kuat||Terang : Cahaya,2,1,1,MEDIUM
Cognitive-V-03,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Semua dokter di klinik A memakai kartu identitas. Rina adalah dokter di klinik A. Kesimpulan yang paling tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rina mungkin memakai kartu identitas||Semua pemakai kartu identitas adalah dokter||Rina memakai kartu identitas||Rina bukan dokter,3,1,1,MEDIUM
Cognitive-V-04,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Kata manakah yang paling berbeda dari yang lain?,SINGLE_CHOICE,SINGLE_CHOICE_4,Apel||Mangga||Jeruk||Wortel,4,1,1,MEDIUM
Cognitive-V-05,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,"Jika 'transparan' berarti dapat ditembus cahaya, lawan kata yang paling tepat adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Buram||Terang||Bening||Tipis,1,1,1,MEDIUM
Cognitive-V-06,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Pilih kesimpulan yang paling kuat: Tidak ada peserta yang terlambat mengumpulkan formulir. Budi adalah peserta.,SINGLE_CHOICE,SINGLE_CHOICE_4,Budi terlambat||Budi tidak terlambat mengumpulkan formulir||Budi tidak mengumpulkan formulir||Budi adalah panitia,2,1,1,MEDIUM
COG-041,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Hubungan kata yang paling mirip dengan pasangan 'Besar : Kecil' adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Air : Gelas||Jalan : Kendaraan||Panjang : Pendek||Buku : Meja,3,1,1.0,EASY
COG-042,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Hubungan kata yang paling mirip dengan pasangan 'Cepat : Lambat' adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Jalan : Kendaraan||Panjang : Pendek||Buku : Meja||Air : Gelas,2,1,1.0,MEDIUM
COG-043,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Hubungan kata yang paling mirip dengan pasangan 'Tinggi : Rendah' adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Panjang : Pendek||Buku : Meja||Air : Gelas||Jalan : Kendaraan,1,1,1.0,MEDIUM
COG-044,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Hubungan kata yang paling mirip dengan pasangan 'Panas : Dingin' adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Buku : Meja||Air : Gelas||Jalan : Kendaraan||Panjang : Pendek,4,1,1.0,HARD
Cognitive-N-01,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Lanjutkan deret: 2, 5, 10, 17, 26, ...",SINGLE_CHOICE,SINGLE_CHOICE_4,35||36||37||38,3,1,1,MEDIUM
Cognitive-N-02,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,Sebuah harga Rp80.000 naik 25%. Harga barunya adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rp90.000||Rp95.000||Rp105.000||Rp100.000,4,1,1,MEDIUM
Cognitive-N-03,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika 3 mesin menghasilkan 120 unit dalam 4 jam dengan laju sama, berapa unit yang dihasilkan 1 mesin dalam 4 jam?",SINGLE_CHOICE,SINGLE_CHOICE_4,40||30||60||90,1,1,1,MEDIUM
Cognitive-N-04,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Lanjutkan pola: 81, 27, 9, 3, ...",SINGLE_CHOICE,SINGLE_CHOICE_4,0||1||2||6,2,1,1,MEDIUM
Cognitive-N-05,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Rasio A:B adalah 3:5. Jika jumlah A dan B adalah 64, nilai B adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,24||32||40||48,3,1,1,MEDIUM
Cognitive-N-06,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Sebuah perjalanan 150 km ditempuh dalam 3 jam. Dengan kecepatan rata-rata sama, jarak dalam 5 jam adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,200 km||225 km||300 km||250 km,4,1,1,MEDIUM
COG-001,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika pola penjumlahan berikut mengikuti aturan yang sama: 4 + 7 = ?, berapakah hasilnya?",SINGLE_CHOICE,SINGLE_CHOICE_4,11||13||9||16,1,1,1.0,EASY
COG-002,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika pola penjumlahan berikut mengikuti aturan yang sama: 5 + 9 = ?, berapakah hasilnya?",SINGLE_CHOICE,SINGLE_CHOICE_4,16||12||19||14,4,1,1.0,MEDIUM
COG-003,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika pola penjumlahan berikut mengikuti aturan yang sama: 6 + 11 = ?, berapakah hasilnya?",SINGLE_CHOICE,SINGLE_CHOICE_4,15||22||17||19,3,1,1.0,MEDIUM
COG-004,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika pola penjumlahan berikut mengikuti aturan yang sama: 7 + 13 = ?, berapakah hasilnya?",SINGLE_CHOICE,SINGLE_CHOICE_4,25||20||22||18,2,1,1.0,HARD
Cognitive-L-01,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika semua X adalah Y, dan sebagian Y adalah Z, manakah yang pasti benar?",SINGLE_CHOICE,SINGLE_CHOICE_4,X selalu termasuk Y||Semua X adalah Z||Sebagian X pasti Z||Tidak ada X yang Z,1,1,1,MEDIUM
Cognitive-L-02,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Urutan A, B, C, dan D harus memenuhi: A sebelum B, C setelah B, dan D sebelum C. Mana urutan yang mungkin?",SINGLE_CHOICE,SINGLE_CHOICE_4,B-A-D-C||A-B-C-D||A-D-B-C||D-C-A-B,2,1,1,MEDIUM
Cognitive-L-03,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika lampu merah berarti berhenti dan lampu tidak merah berarti tidak wajib berhenti, saat lampu merah menyala maka...",SINGLE_CHOICE,SINGLE_CHOICE_4,Boleh terus||Harus berbelok||Harus berhenti||Tidak dapat ditentukan,3,1,1,MEDIUM
Cognitive-L-04,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Tiga orang K, L, M duduk berurutan. K tidak di tengah. L berada di sebelah kanan K. Siapa yang mungkin berada di tengah?",SINGLE_CHOICE,SINGLE_CHOICE_4,K||M||Tidak mungkin||L,4,1,1,MEDIUM
Cognitive-L-05,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,Semua arsip lama disimpan di ruang A. Dokumen X tidak berada di ruang A. Kesimpulan yang paling tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,X bukan arsip lama||X pasti arsip lama||X pasti baru||X tidak boleh disimpan,1,1,1,MEDIUM
Cognitive-L-06,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika aturan menyatakan: setiap tugas A harus selesai sebelum tugas B, dan B sebelum C, maka...",SINGLE_CHOICE,SINGLE_CHOICE_4,C selesai sebelum A||A selesai sebelum C||B selesai setelah C||A dan C selalu bersamaan,2,1,1,MEDIUM
COG-021,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,Semua anggota kelompok A memiliki kartu biru. Rina adalah anggota kelompok A. Kesimpulan yang paling tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rina pasti memiliki kartu merah||Semua pemilik kartu biru adalah anggota kelompok A||Tidak ada kesimpulan yang dapat dibuat||Rina memiliki kartu biru,4,1,1.0,EASY
Cognitive-A-01,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola simbol: ▲, ▲▲, ▲▲▲, ... Bentuk berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,▲||▲▲||▲▲▲▲||■■■■,3,1,1,MEDIUM
Cognitive-A-02,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola: AB, BC, CD, DE, ... pasangan berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,DF||EE||FG||EF,4,1,1,MEDIUM
Cognitive-A-03,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Jika setiap langkah menggeser posisi huruf satu tingkat: A→B, B→C, C→D, maka D→...",SINGLE_CHOICE,SINGLE_CHOICE_4,E||C||D||F,1,1,1,MEDIUM
Cognitive-A-04,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Urutan bentuk mengikuti jumlah sisi: segitiga, persegi, segilima, ... bentuk berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Lingkaran||Segienam||Segitiga||Persegi,2,1,1,MEDIUM
Cognitive-A-05,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola angka visual: 1 titik, 2 titik, 4 titik, 8 titik. Tahap berikutnya mengikuti aturan yang sama menjadi...",SINGLE_CHOICE,SINGLE_CHOICE_4,10 titik||12 titik||16 titik||14 titik,3,1,1,MEDIUM
Cognitive-A-06,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola pasangan: AZ, BY, CX, ... pasangan berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,EV||DU||EX||DW,4,1,1,MEDIUM
