id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
V13_10_COGNITIVE_NEW_001,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_001,V13_10_COGNITIVE_VERBAL_REASONING_NEW_001,Hubungan kata yang paling tepat: Dokter : Rumah Sakit = Guru : ...,SINGLE_CHOICE,SINGLE_CHOICE_4,Sekolah||Pasar||Bengkel||Bandara,1,1,MEDIUM
V13_10_COGNITIVE_NEW_002,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_002,V13_10_COGNITIVE_VERBAL_REASONING_NEW_002,Pasangan kata yang memiliki hubungan paling mirip dengan CEPAT : LAMBAT adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Tinggi : Jauh||Kuat : Lemah||Besar : Berat||Panjang : Lebar,2,1,MEDIUM
V13_10_COGNITIVE_NEW_003,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_003,V13_10_COGNITIVE_VERBAL_REASONING_NEW_003,Semua peserta yang lulus ujian menerima sertifikat. Dimas lulus ujian. Kesimpulan yang tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Dimas mungkin menerima sertifikat||Dimas menerima sertifikat||Semua penerima sertifikat adalah Dimas||Dimas tidak menerima sertifikat,2,1,MEDIUM
V13_10_COGNITIVE_NEW_004,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_004,V13_10_COGNITIVE_VERBAL_REASONING_NEW_004,Kata yang paling berbeda dari yang lain adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Mawar||Melati||Anggrek||Bayam,4,1,MEDIUM
V13_10_COGNITIVE_NEW_005,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_005,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_005,"Jika 3 buku berharga Rp45.000, harga 7 buku dengan harga per buku yang sama adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Rp90.000||Rp105.000||Rp120.000||Rp135.000,2,1,MEDIUM
V13_10_COGNITIVE_NEW_006,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_006,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_006,"Deret 4, 7, 13, 25, 49, ... memiliki angka berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,73||85||97||101,3,1,MEDIUM
V13_10_COGNITIVE_NEW_007,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_007,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_007,"Sebuah pekerjaan selesai oleh 5 orang dalam 12 hari. Dengan produktivitas sama, 10 orang membutuhkan...",SINGLE_CHOICE,SINGLE_CHOICE_4,4 hari||5 hari||6 hari||8 hari,3,1,MEDIUM
V13_10_COGNITIVE_NEW_008,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_008,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_008,Harga barang Rp240.000 didiskon 15%. Harga setelah diskon adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rp196.000||Rp204.000||Rp210.000||Rp216.000,2,1,MEDIUM
V13_10_COGNITIVE_NEW_009,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_009,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_009,Semua A adalah B. Tidak ada B yang merupakan C. Kesimpulan yang pasti benar adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Sebagian A adalah C||Tidak ada A yang merupakan C||Semua C adalah A||Sebagian B bukan A,2,1,MEDIUM
V13_10_COGNITIVE_NEW_010,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_010,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_010,"Jika lampu merah menyala, kendaraan harus berhenti. Lampu merah tidak menyala. Kesimpulan yang tepat adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Kendaraan pasti berhenti||Kendaraan pasti berjalan||Tidak dapat dipastikan apakah kendaraan berhenti||Semua kendaraan sedang rusak,3,1,MEDIUM
V13_10_COGNITIVE_NEW_011,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_011,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_011,"Urutan tugas mengikuti aturan P sebelum Q, Q sebelum R, dan S setelah P tetapi sebelum R. Urutan yang mungkin adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Q-P-S-R||P-S-Q-R||P-R-Q-S||S-P-Q-R,2,1,MEDIUM
V13_10_COGNITIVE_NEW_012,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_012,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_012,"Tiga kotak Merah, Biru, Hijau. Merah tidak berisi bola. Biru berisi lebih banyak daripada Hijau. Jika Hijau berisi 3 bola, pernyataan pasti benar adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Merah berisi 3 bola||Biru berisi lebih dari 3 bola||Biru berisi tepat 4 bola||Merah berisi lebih banyak dari Biru,2,1,MEDIUM
V13_10_COGNITIVE_NEW_013,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_013,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_013,"Pola simbol ▲, ■, ▲▲, ■■, ▲▲▲, ... menghasilkan simbol berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,▲▲||■■||▲▲▲▲||■■■,4,1,MEDIUM
V13_10_COGNITIVE_NEW_014,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_014,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_014,"Pola bilangan 1, 2, 4, 7, 11, ... memiliki bilangan berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,14||15||16||17,2,1,MEDIUM
V13_10_COGNITIVE_NEW_015,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_015,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_015,"Urutan bentuk lingkaran, segitiga, persegi, lingkaran, segitiga, ... dilanjutkan dengan...",SINGLE_CHOICE,SINGLE_CHOICE_4,Lingkaran||Segitiga||Persegi||Bintang,3,1,MEDIUM
V13_10_COGNITIVE_NEW_016,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_016,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_016,"Jika A→B, B→C, C→D, maka dengan aturan yang sama K→...",SINGLE_CHOICE,SINGLE_CHOICE_4,I||J||L||M,3,1,MEDIUM
