id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-A-001,A,Artistic,creativity,Saya tertarik menciptakan sesuatu dengan cara yang berbeda dari biasanya.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-002,A,Artistic,creativity,Saya menikmati mencoba ide baru ketika membuat sesuatu.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-003,A,Artistic,creativity,Saya tertarik menemukan berbagai kemungkinan sebelum memilih satu cara untuk berkarya.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-004,A,Artistic,expression,"Saya menikmati menyampaikan gagasan melalui tulisan, gambar, musik, atau bentuk ekspresi lainnya.",TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-005,A,Artistic,expression,Saya tertarik menggunakan cara yang kreatif untuk menyampaikan apa yang saya pikirkan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-006,A,Artistic,originality,Saya senang menghasilkan ide atau karya yang memiliki ciri khas saya sendiri.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-007,A,Artistic,originality,Saya tertarik mencoba pendekatan yang tidak biasa untuk menghasilkan sesuatu.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-008,A,Artistic,originality,Saya menikmati mengembangkan konsep yang berbeda dari contoh yang sudah ada.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-009,A,Artistic,aesthetics,"Saya tertarik memperhatikan komposisi, bentuk, warna, atau tampilan ketika membuat sesuatu.",TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-010,A,Artistic,aesthetics,Saya menikmati kegiatan yang memberi kesempatan untuk memperhatikan dan mengolah unsur keindahan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-R001,A,Artistic,creativity,Saya menikmati mengembangkan beberapa ide sebelum menentukan karya yang akan dibuat.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-R002,A,Artistic,expression,Saya tertarik menggunakan media kreatif untuk menyampaikan sebuah pesan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-R003,A,Artistic,originality,Saya senang menemukan sudut pandang yang berbeda dari pendekatan yang umum.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-A-R004,A,Artistic,aesthetics,Saya menikmati memilih unsur visual atau bentuk yang membuat sebuah karya terasa lebih menarik.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
