id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-I-001,I,Investigative,curiosity,Saya tertarik mencari tahu mengapa suatu hal dapat terjadi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-002,I,Investigative,curiosity,Saya menikmati menemukan penjelasan di balik sesuatu yang belum saya pahami.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-003,I,Investigative,curiosity,Saya sering tertarik pada pertanyaan yang belum memiliki jawaban sederhana.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-004,I,Investigative,analysis,Saya menikmati membandingkan informasi untuk menemukan pola atau perbedaan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-005,I,Investigative,analysis,Saya tertarik menganalisis informasi sebelum menarik kesimpulan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-006,I,Investigative,analysis,Saya menikmati memahami hubungan antara berbagai fakta atau informasi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-007,I,Investigative,investigation,Saya tertarik melakukan pencarian informasi untuk menguji dugaan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-008,I,Investigative,investigation,Saya menikmati menyelidiki suatu masalah sampai menemukan penjelasan yang masuk akal.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-009,I,Investigative,problem_solving,Saya tertarik menggunakan logika untuk menemukan solusi atas masalah yang rumit.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-010,I,Investigative,problem_solving,Saya menikmati memecah masalah menjadi bagian-bagian yang lebih kecil untuk dipahami.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-R001,I,Investigative,curiosity,Saya menikmati mencari jawaban atas pertanyaan yang membuat saya penasaran.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-R002,I,Investigative,analysis,Saya tertarik menelaah informasi secara rinci sebelum memutuskan apa yang berarti.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-R003,I,Investigative,investigation,Saya menikmati mengumpulkan bukti untuk memahami sebuah persoalan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-I-R004,I,Investigative,problem_solving,Saya tertarik mencari penjelasan logis ketika menghadapi persoalan yang kompleks.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
