id,domain,subdomain,indicator,text,type,answerType,options,scoringKey,weight,difficulty
V13_10_DISC_NEW_001,DISC,TARGET_D,V13_10_DISC_D_NEW_001,"Saat klien meminta perubahan besar sehari sebelum pekerjaan selesai, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_002,DISC,TARGET_D,V13_10_DISC_D_NEW_002,"Ketika dua anggota tim berbeda pendapat tentang prioritas proyek, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_003,DISC,TARGET_D,V13_10_DISC_D_NEW_003,"Jika hasil penjualan bulan ini jauh di bawah target, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_004,DISC,TARGET_D,V13_10_DISC_D_NEW_004,"Dalam pekerjaan dengan tenggat sangat ketat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_005,DISC,TARGET_D,V13_10_DISC_D_NEW_005,"Saat atasan menyerahkan masalah pelanggan yang mendesak kepadamu, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_006,DISC,TARGET_D,V13_10_DISC_D_NEW_006,"Ketika sebuah rencana tidak menghasilkan kemajuan setelah beberapa minggu, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_007,DISC,TARGET_D,V13_10_DISC_D_NEW_007,"Jika anggota tim membutuhkan keputusanmu agar dapat melanjutkan pekerjaan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_008,DISC,TARGET_D,V13_10_DISC_D_NEW_008,"Saat sebuah peluang bisnis muncul tetapi waktu merespons sangat singkat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_009,DISC,TARGET_D,V13_10_DISC_D_NEW_009,"Ketika pekerjaanmu dikritik karena dianggap terlalu lambat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_010,DISC,TARGET_D,V13_10_DISC_D_NEW_010,"Jika sebuah proyek memiliki banyak pilihan solusi, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_011,DISC,TARGET_D,V13_10_DISC_D_NEW_011,"Ketika pelanggan terus menunda keputusan pembelian, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_012,DISC,TARGET_D,V13_10_DISC_D_NEW_012,"Saat harus memimpin rapat yang keluar dari agenda, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
