id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
Cognitive-A-01,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola simbol: ▲, ▲▲, ▲▲▲, ... Bentuk berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,▲||▲▲||▲▲▲▲||■■■■,3,[3],1,MEDIUM
Cognitive-A-02,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola: AB, BC, CD, DE, ... pasangan berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,DF||EE||FG||EF,4,[4],1,MEDIUM
Cognitive-A-03,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Jika setiap langkah menggeser posisi huruf satu tingkat: A→B, B→C, C→D, maka D→...",SINGLE_CHOICE,SINGLE_CHOICE_4,E||C||D||F,1,[1],1,MEDIUM
Cognitive-A-04,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Urutan bentuk mengikuti jumlah sisi: segitiga, persegi, segilima, ... bentuk berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Lingkaran||Segienam||Segitiga||Persegi,2,[2],1,MEDIUM
Cognitive-A-05,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola angka visual: 1 titik, 2 titik, 4 titik, 8 titik. Tahap berikutnya mengikuti aturan yang sama menjadi...",SINGLE_CHOICE,SINGLE_CHOICE_4,10 titik||12 titik||16 titik||14 titik,3,[3],1,MEDIUM
Cognitive-A-06,ABSTRACT_REASONING,ABSTRACT_REASONING,OBJECTIVE_REASONING,"Pola pasangan: AZ, BY, CX, ... pasangan berikutnya adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,EV||DU||EX||DW,4,[4],1,MEDIUM
Cognitive-L-01,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika semua X adalah Y, dan sebagian Y adalah Z, manakah yang pasti benar?",SINGLE_CHOICE,SINGLE_CHOICE_4,X selalu termasuk Y||Semua X adalah Z||Sebagian X pasti Z||Tidak ada X yang Z,1,[1],1,MEDIUM
Cognitive-L-02,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Urutan A, B, C, dan D harus memenuhi: A sebelum B, C setelah B, dan D sebelum C. Mana urutan yang mungkin?",SINGLE_CHOICE,SINGLE_CHOICE_4,B-A-D-C||A-B-C-D||A-D-B-C||D-C-A-B,2,[2],1,MEDIUM
Cognitive-L-03,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika lampu merah berarti berhenti dan lampu tidak merah berarti tidak wajib berhenti, saat lampu merah menyala maka...",SINGLE_CHOICE,SINGLE_CHOICE_4,Boleh terus||Harus berbelok||Harus berhenti||Tidak dapat ditentukan,3,[3],1,MEDIUM
Cognitive-L-04,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Tiga orang K, L, M duduk berurutan. K tidak di tengah. L berada di sebelah kanan K. Siapa yang mungkin berada di tengah?",SINGLE_CHOICE,SINGLE_CHOICE_4,K||M||Tidak mungkin||L,4,[4],1,MEDIUM
Cognitive-L-05,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,Semua arsip lama disimpan di ruang A. Dokumen X tidak berada di ruang A. Kesimpulan yang paling tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,X bukan arsip lama||X pasti arsip lama||X pasti baru||X tidak boleh disimpan,1,[1],1,MEDIUM
Cognitive-L-06,LOGICAL_REASONING,LOGICAL_REASONING,OBJECTIVE_REASONING,"Jika aturan menyatakan: setiap tugas A harus selesai sebelum tugas B, dan B sebelum C, maka...",SINGLE_CHOICE,SINGLE_CHOICE_4,C selesai sebelum A||A selesai sebelum C||B selesai setelah C||A dan C selalu bersamaan,2,[2],1,MEDIUM
Cognitive-N-01,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Lanjutkan deret: 2, 5, 10, 17, 26, ...",SINGLE_CHOICE,SINGLE_CHOICE_4,35||36||37||38,3,[3],1,MEDIUM
Cognitive-N-02,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,Sebuah harga Rp80.000 naik 25%. Harga barunya adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rp90.000||Rp95.000||Rp105.000||Rp100.000,4,[4],1,MEDIUM
Cognitive-N-03,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Jika 3 mesin menghasilkan 120 unit dalam 4 jam dengan laju sama, berapa unit yang dihasilkan 1 mesin dalam 4 jam?",SINGLE_CHOICE,SINGLE_CHOICE_4,40||30||60||90,1,[1],1,MEDIUM
Cognitive-N-04,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Lanjutkan pola: 81, 27, 9, 3, ...",SINGLE_CHOICE,SINGLE_CHOICE_4,0||1||2||6,2,[2],1,MEDIUM
Cognitive-N-05,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Rasio A:B adalah 3:5. Jika jumlah A dan B adalah 64, nilai B adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,24||32||40||48,3,[3],1,MEDIUM
Cognitive-N-06,NUMERICAL_REASONING,NUMERICAL_REASONING,OBJECTIVE_REASONING,"Sebuah perjalanan 150 km ditempuh dalam 3 jam. Dengan kecepatan rata-rata sama, jarak dalam 5 jam adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,200 km||225 km||300 km||250 km,4,[4],1,MEDIUM
Cognitive-V-01,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Pilih kata yang paling tepat melengkapi hubungan: Buku : Membaca = Garpu : ...,SINGLE_CHOICE,SINGLE_CHOICE_4,Makan||Memotong||Memasak||Menulis,1,[1],1,MEDIUM
Cognitive-V-02,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Manakah pasangan kata yang memiliki hubungan paling mirip dengan PANAS : DINGIN?,SINGLE_CHOICE,SINGLE_CHOICE_4,Tinggi : Besar||Cepat : Lambat||Keras : Kuat||Terang : Cahaya,2,[2],1,MEDIUM
Cognitive-V-03,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Semua dokter di klinik A memakai kartu identitas. Rina adalah dokter di klinik A. Kesimpulan yang paling tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rina mungkin memakai kartu identitas||Semua pemakai kartu identitas adalah dokter||Rina memakai kartu identitas||Rina bukan dokter,3,[3],1,MEDIUM
Cognitive-V-04,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Kata manakah yang paling berbeda dari yang lain?,SINGLE_CHOICE,SINGLE_CHOICE_4,Apel||Mangga||Jeruk||Wortel,4,[4],1,MEDIUM
Cognitive-V-05,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,"Jika 'transparan' berarti dapat ditembus cahaya, lawan kata yang paling tepat adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Buram||Terang||Bening||Tipis,1,[1],1,MEDIUM
Cognitive-V-06,VERBAL_REASONING,VERBAL_REASONING,OBJECTIVE_REASONING,Pilih kesimpulan yang paling kuat: Tidak ada peserta yang terlambat mengumpulkan formulir. Budi adalah peserta.,SINGLE_CHOICE,SINGLE_CHOICE_4,Budi terlambat||Budi tidak terlambat mengumpulkan formulir||Budi tidak mengumpulkan formulir||Budi adalah panitia,2,[2],1,MEDIUM
V13_10_COGNITIVE_NEW_001,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_001,V13_10_COGNITIVE_VERBAL_REASONING_NEW_001,Hubungan kata yang paling tepat: Dokter : Rumah Sakit = Guru : ...,SINGLE_CHOICE,SINGLE_CHOICE_4,Sekolah||Pasar||Bengkel||Bandara,1,[1],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_002,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_002,V13_10_COGNITIVE_VERBAL_REASONING_NEW_002,Pasangan kata yang memiliki hubungan paling mirip dengan CEPAT : LAMBAT adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Tinggi : Jauh||Kuat : Lemah||Besar : Berat||Panjang : Lebar,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_003,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_003,V13_10_COGNITIVE_VERBAL_REASONING_NEW_003,Semua peserta yang lulus ujian menerima sertifikat. Dimas lulus ujian. Kesimpulan yang tepat adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Dimas mungkin menerima sertifikat||Dimas menerima sertifikat||Semua penerima sertifikat adalah Dimas||Dimas tidak menerima sertifikat,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_004,VERBAL_REASONING,V13_10_VERBAL_REASONING_NEW_004,V13_10_COGNITIVE_VERBAL_REASONING_NEW_004,Kata yang paling berbeda dari yang lain adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Mawar||Melati||Anggrek||Bayam,4,[4],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_005,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_005,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_005,"Jika 3 buku berharga Rp45.000, harga 7 buku dengan harga per buku yang sama adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Rp90.000||Rp105.000||Rp120.000||Rp135.000,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_006,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_006,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_006,"Deret 4, 7, 13, 25, 49, ... memiliki angka berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,73||85||97||101,3,[3],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_007,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_007,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_007,"Sebuah pekerjaan selesai oleh 5 orang dalam 12 hari. Dengan produktivitas sama, 10 orang membutuhkan...",SINGLE_CHOICE,SINGLE_CHOICE_4,4 hari||5 hari||6 hari||8 hari,3,[3],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_008,NUMERICAL_REASONING,V13_10_NUMERICAL_REASONING_NEW_008,V13_10_COGNITIVE_NUMERICAL_REASONING_NEW_008,Harga barang Rp240.000 didiskon 15%. Harga setelah diskon adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Rp196.000||Rp204.000||Rp210.000||Rp216.000,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_009,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_009,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_009,Semua A adalah B. Tidak ada B yang merupakan C. Kesimpulan yang pasti benar adalah...,SINGLE_CHOICE,SINGLE_CHOICE_4,Sebagian A adalah C||Tidak ada A yang merupakan C||Semua C adalah A||Sebagian B bukan A,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_010,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_010,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_010,"Jika lampu merah menyala, kendaraan harus berhenti. Lampu merah tidak menyala. Kesimpulan yang tepat adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Kendaraan pasti berhenti||Kendaraan pasti berjalan||Tidak dapat dipastikan apakah kendaraan berhenti||Semua kendaraan sedang rusak,3,[3],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_011,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_011,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_011,"Urutan tugas mengikuti aturan P sebelum Q, Q sebelum R, dan S setelah P tetapi sebelum R. Urutan yang mungkin adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Q-P-S-R||P-S-Q-R||P-R-Q-S||S-P-Q-R,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_012,LOGICAL_REASONING,V13_10_LOGICAL_REASONING_NEW_012,V13_10_COGNITIVE_LOGICAL_REASONING_NEW_012,"Tiga kotak Merah, Biru, Hijau. Merah tidak berisi bola. Biru berisi lebih banyak daripada Hijau. Jika Hijau berisi 3 bola, pernyataan pasti benar adalah...",SINGLE_CHOICE,SINGLE_CHOICE_4,Merah berisi 3 bola||Biru berisi lebih dari 3 bola||Biru berisi tepat 4 bola||Merah berisi lebih banyak dari Biru,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_013,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_013,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_013,"Pola simbol ▲, ■, ▲▲, ■■, ▲▲▲, ... menghasilkan simbol berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,▲▲||■■||▲▲▲▲||■■■,4,[4],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_014,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_014,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_014,"Pola bilangan 1, 2, 4, 7, 11, ... memiliki bilangan berikutnya...",SINGLE_CHOICE,SINGLE_CHOICE_4,14||15||16||17,2,[2],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_015,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_015,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_015,"Urutan bentuk lingkaran, segitiga, persegi, lingkaran, segitiga, ... dilanjutkan dengan...",SINGLE_CHOICE,SINGLE_CHOICE_4,Lingkaran||Segitiga||Persegi||Bintang,3,[3],1,UNSPECIFIED
V13_10_COGNITIVE_NEW_016,ABSTRACT_REASONING,V13_10_ABSTRACT_REASONING_NEW_016,V13_10_COGNITIVE_ABSTRACT_REASONING_NEW_016,"Jika A→B, B→C, C→D, maka dengan aturan yang sama K→...",SINGLE_CHOICE,SINGLE_CHOICE_4,I||J||L||M,3,[3],1,UNSPECIFIED
