id,domain,subdomain,indicator,text,type,reverseScore,weight,scale,scoringKey,difficulty,status,mappingStatus,sourceFile,role
RIASEC-R-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-001,I,Investigative,curiosity,Saya tertarik mencari tahu mengapa suatu hal dapat terjadi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-002,I,Investigative,curiosity,Saya menikmati menemukan penjelasan di balik sesuatu yang belum saya pahami.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-003,I,Investigative,curiosity,Saya sering tertarik pada pertanyaan yang belum memiliki jawaban sederhana.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
