id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
V13_10_EQ_REPLACEMENT_001,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_001,"Saat menerima pesan singkat yang terdengar dingin dari rekan kerja, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Langsung menyimpulkan bahwa ia sedang marah.||Menyadari emosi yang muncul sebelum menafsirkan maksud pesannya.||Mengabaikan rasa tidak nyaman tanpa mencoba mengenali pemicunya.||Menganggap nada pesan sebagai bukti bahwa hubungan sedang bermasalah.,,"1,4,2,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_002,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_002,"Sebelum memimpin presentasi ketika tubuh terasa tegang, apa langkah yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Mengenali ketegangan yang muncul dan mempertimbangkan pengaruhnya pada fokus.||Berusaha menghilangkan rasa tegang dengan berpura-pura tidak gugup.||Menganggap ketegangan berarti presentasi pasti akan gagal.||Menyalahkan keadaan karena membuat diri merasa tertekan.,,"4,3,1,2",1,MEDIUM
V13_10_EQ_REPLACEMENT_003,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_003,"Setelah membaca komentar pelanggan yang membuat Anda kecewa, apa yang paling menunjukkan kesadaran emosi?",SCENARIO,SINGLE_CHOICE_4,Membalas komentar segera agar rasa kesal tersalurkan.||Menyadari rasa kecewa dan memisahkan emosi dari penilaian terhadap maksud pelanggan.||Mengabaikan perasaan sampai pekerjaan selesai.||Menganggap komentar itu pasti merupakan serangan pribadi.,,"2,4,3,1",1,MEDIUM
V13_10_EQ_REPLACEMENT_004,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_004,"Saat rencana kerja berubah mendadak, apa respons yang paling membantu untuk memahami reaksi diri?",SCENARIO,SINGLE_CHOICE_4,Menyadari bahwa perubahan memunculkan frustrasi sebelum menentukan tindakan.||Membiarkan frustrasi menentukan cara berbicara kepada tim.||Menganggap perubahan sebagai bukti bahwa semua persiapan sia-sia.||Menekan perasaan dan langsung bekerja tanpa memeriksanya.,,"4,2,1,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_005,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_005,"Ketika seseorang tidak segera membalas pesan penting, apa langkah yang paling menunjukkan kesadaran emosi?",SCENARIO,SINGLE_CHOICE_4,Mengakui rasa cemas lalu mempertimbangkan kemungkinan penyebab yang netral.||Menganggap keterlambatan itu sebagai bentuk tidak menghargai.||Mengirim beberapa pesan tambahan dengan nada mendesak.||Mengabaikan kecemasan tanpa mencoba memahami pemicunya.,,"4,1,2,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_006,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_006,"Saat menerima hasil kerja yang tidak sesuai harapan, apa respons yang paling sehat?",SCENARIO,SINGLE_CHOICE_4,Mengenali rasa kecewa sebelum mengevaluasi apa yang perlu diperbaiki.||Menganggap hasil itu membuktikan bahwa kemampuan Anda memang kurang.||Menyalahkan orang lain agar tidak merasa gagal.||Menghindari melihat hasilnya sampai perasaan membaik.,,"4,1,2,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_007,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_REPLACEMENT,V13_10_EQ_EMOTION_AWARENESS_007,"Ketika suasana rapat terasa tegang, apa langkah awal yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Langsung menilai siapa yang menyebabkan ketegangan.||Menyadari perubahan emosi diri dan mengamati situasi sebelum bereaksi.||Mengabaikan ketegangan karena itu bukan masalah pribadi.||Menganggap ketegangan berarti rapat pasti tidak akan berhasil.,,"1,4,2,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_008,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_REPLACEMENT,V13_10_EQ_EMOTION_REGULATION_008,"Ketika menerima kritik yang membuat Anda kesal, respons yang paling membantu adalah...",SCENARIO,SINGLE_CHOICE_4,Membalas dengan nada yang sama agar posisi Anda jelas.||Memberi jeda untuk menenangkan reaksi lalu memilih respons sesuai tujuan.||Menunda semua tindakan tanpa menentukan kapan akan merespons.||Membiarkan emosi menentukan cara berbicara.,,"1,4,3,2",1,MEDIUM
V13_10_EQ_REPLACEMENT_009,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_REPLACEMENT,V13_10_EQ_EMOTION_REGULATION_009,"Saat terjadi kesalahpahaman dengan rekan kerja, apa yang paling membantu mengatur reaksi?",SCENARIO,SINGLE_CHOICE_4,Mengirim pesan spontan untuk meluapkan kekesalan.||Mengambil jeda singkat lalu menyusun respons yang ingin dicapai.||Menghindari orang tersebut sampai masalah hilang sendiri.||Membiarkan nada bicara mengikuti rasa frustrasi.,,"2,4,1,3",1,MEDIUM
V13_10_EQ_REPLACEMENT_010,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_REPLACEMENT,V13_10_EQ_EMOTION_REGULATION_010,"Ketika pekerjaan menumpuk dan Anda mulai panik, apa tindakan yang paling efektif?",SCENARIO,SINGLE_CHOICE_4,"Menghentikan semua pekerjaan sampai rasa panik hilang.||Mengakui tekanan, menentukan prioritas, lalu mengerjakan langkah berikutnya.||Mengerjakan tugas secara acak agar merasa sedang bergerak.||Melampiaskan tekanan kepada orang terdekat.",,"2,4,3,1",1,MEDIUM
