id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
V11_7_11_COGNITIVE_001,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 1: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_002,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 2: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_003,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 3: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_004,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 4: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_005,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 5: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_006,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 6: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_007,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 7: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_008,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 8: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_009,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 9: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_010,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 10: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_011,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 11: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_012,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 12: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_013,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 13: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_014,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 14: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_015,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 15: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_016,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 16: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_017,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 17: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_018,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 18: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_019,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 19: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_020,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 20: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_021,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 21: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_022,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 22: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_023,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 23: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_024,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 24: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_025,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 25: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_026,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 26: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_027,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 27: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_028,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 28: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_029,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 29: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_030,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 30: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_031,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 31: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_032,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 32: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_033,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 33: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_034,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 34: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_035,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 35: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_036,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 36: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_037,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 37: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_038,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 38: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_039,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 39: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_COGNITIVE_040,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 40: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_COGNITIVE_041,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 41: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_COGNITIVE_042,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 42: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_COGNITIVE_043,Cognitive Reasoning,Reasoning,Problem Solving,Fixture COGNITIVE item 43: pilih jawaban yang paling sesuai. ,SINGLE_CHOICE,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
