id,domain,subdomain,indicator,role,production_status
RIASEC-R-R001,R,Realistic,hands_on,RESERVE,RESERVE
RIASEC-R-R002,R,Realistic,tools_equipment,RESERVE,RESERVE
RIASEC-R-R003,R,Realistic,practical_problem_solving,RESERVE,RESERVE
RIASEC-R-R004,R,Realistic,physical_environment,RESERVE,RESERVE
RIASEC-I-R001,I,Investigative,curiosity,RESERVE,RESERVE
RIASEC-I-R002,I,Investigative,analysis,RESERVE,RESERVE
RIASEC-I-R003,I,Investigative,investigation,RESERVE,RESERVE
RIASEC-I-R004,I,Investigative,problem_solving,RESERVE,RESERVE
RIASEC-A-R001,A,Artistic,creativity,RESERVE,RESERVE
RIASEC-A-R002,A,Artistic,expression,RESERVE,RESERVE
RIASEC-A-R003,A,Artistic,originality,RESERVE,RESERVE
RIASEC-A-R004,A,Artistic,aesthetics,RESERVE,RESERVE
RIASEC-S-R001,S,Social,helping,RESERVE,RESERVE
RIASEC-S-R002,S,Social,teaching,RESERVE,RESERVE
RIASEC-S-R003,S,Social,communication,RESERVE,RESERVE
RIASEC-S-R004,S,Social,development,RESERVE,RESERVE
RIASEC-E-R001,E,Enterprising,influence,RESERVE,RESERVE
RIASEC-E-R002,E,Enterprising,leadership,RESERVE,RESERVE
RIASEC-E-R003,E,Enterprising,initiative,RESERVE,RESERVE
RIASEC-E-R004,E,Enterprising,persuasion,RESERVE,RESERVE
RIASEC-C-R001,C,Conventional,organization,RESERVE,RESERVE
RIASEC-C-R002,C,Conventional,structure,RESERVE,RESERVE
RIASEC-C-R003,C,Conventional,information_order,RESERVE,RESERVE
RIASEC-C-R004,C,Conventional,accuracy,RESERVE,RESERVE
