id,domain,subdomain,indicator,text,role,selection_basis,approval_status
RIASEC-R-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-R-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-001,I,Investigative,curiosity,Saya tertarik mencari tahu mengapa suatu hal dapat terjadi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-002,I,Investigative,curiosity,Saya menikmati menemukan penjelasan di balik sesuatu yang belum saya pahami.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-003,I,Investigative,curiosity,Saya sering tertarik pada pertanyaan yang belum memiliki jawaban sederhana.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-004,I,Investigative,analysis,Saya menikmati membandingkan informasi untuk menemukan pola atau perbedaan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
