id,text,domain,subdomain,indicator,type,answerType,reverseScore,weight,scale,scoringKey,correctOption,options,difficulty
DISC-V2-001,"Saat proyek tim mulai terlambat dari jadwal, apa yang paling mungkin kamu lakukan lebih dulu?",DISC,TARGET_D,BEHAVIORAL_SCENARIO_001,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan langkah yang harus segera dilakukan agar pekerjaan kembali bergerak."", ""Mengajak tim melihat sisi positif situasi agar energi tetap terjaga."", ""Mengecek kondisi anggota tim dan membantu menjaga kerja sama tetap tenang."", ""Menelusuri penyebab keterlambatan dan memastikan detail rencana sebelum bertindak.""]",MEDIUM
DISC-V2-002,"Ketika suasana rapat terasa kaku dan orang-orang pasif, kamu cenderung...",DISC,TARGET_I,BEHAVIORAL_SCENARIO_002,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membuka percakapan dengan cara yang membuat orang lebih bersemangat."", ""Memberi ruang agar peserta yang pendiam merasa nyaman ikut berbicara."", ""Mengamati dulu pola diskusi dan merapikan poin-poin yang belum jelas."", ""Mengambil alih arah diskusi dan meminta keputusan yang jelas.""]",MEDIUM
DISC-V2-003,Seorang rekan baru terlihat kesulitan mengikuti ritme kerja tim. Apa yang paling mungkin kamu lakukan?,DISC,TARGET_S,BEHAVIORAL_SCENARIO_003,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendampinginya secara bertahap sampai ia merasa lebih nyaman dengan ritme tim."", ""Menjelaskan alur kerja dan memeriksa detail yang perlu ia pahami."", ""Menentukan tindakan praktis agar ia segera bisa mengejar target."", ""Mengajaknya berinteraksi dengan anggota tim agar cepat merasa diterima.""]",MEDIUM
DISC-V2-004,Kamu menerima laporan dengan banyak angka tetapi beberapa bagian tampak tidak konsisten. Kamu cenderung...,DISC,TARGET_C,BEHAVIORAL_SCENARIO_004,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa sumber angka dan mencocokkan setiap bagian yang tidak konsisten."", ""Meminta koreksi segera agar laporan dapat dipakai untuk keputusan."", ""Mengajak penulis laporan membahasnya secara terbuka dan ringan."", ""Memberi waktu untuk memperbaiki laporan tanpa membuat situasi menjadi tegang.""]",MEDIUM
DISC-V2-005,"Dalam sebuah kegiatan, pembagian tugas belum jelas sementara waktu terus berjalan. Kamu lebih mungkin...",DISC,TARGET_D,BEHAVIORAL_SCENARIO_005,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan siapa mengerjakan apa dan langsung memulai."", ""Mendorong semua orang bergerak dengan suasana yang antusias."", ""Membantu menyusun pembagian yang terasa nyaman bagi semua anggota."", ""Memastikan dulu rincian tugas dan urutan kerja agar tidak ada yang terlewat.""]",MEDIUM
DISC-V2-006,Kamu bertemu banyak orang baru dalam sebuah acara profesional. Kamu biasanya...,DISC,TARGET_I,BEHAVIORAL_SCENARIO_006,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Dengan mudah membuka obrolan dan membuat percakapan terasa hidup."", ""Lebih suka mengenal beberapa orang secara perlahan dan nyaman."", ""Memperhatikan konteks dan informasi orang-orang tersebut sebelum banyak berbicara."", ""Mencari orang yang tepat untuk diajak membahas tujuan atau peluang konkret.""]",MEDIUM
DISC-V2-007,"Ketika terjadi perbedaan pendapat yang mulai membuat suasana tim tegang, kamu cenderung...",DISC,TARGET_S,BEHAVIORAL_SCENARIO_007,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mencoba memahami masing-masing pihak dan menurunkan ketegangan."", ""Mengurai persoalan secara sistematis untuk menemukan titik perbedaannya."", ""Menghentikan perdebatan dan mengarahkan tim pada keputusan."", ""Menggunakan komunikasi yang ringan agar suasana tidak semakin panas.""]",MEDIUM
DISC-V2-008,Atasan meminta kamu mengerjakan tugas baru dengan instruksi yang masih umum. Respons yang paling mewakili dirimu adalah...,DISC,TARGET_C,BEHAVIORAL_SCENARIO_008,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Meminta kriteria, batasan, dan standar hasil agar pekerjaan dapat dilakukan dengan tepat."", ""Menentukan arah kerja yang paling masuk akal lalu segera mulai."", ""Mengajak atasan berdiskusi sambil menggali gambaran hasil yang diinginkan."", ""Memastikan ekspektasi bersama cukup jelas sebelum menjalankan tugas.""]",MEDIUM
DISC-V2-009,"Jika kamu menemukan masalah penting tepat sebelum presentasi dimulai, kamu lebih mungkin...",DISC,TARGET_D,BEHAVIORAL_SCENARIO_009,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Memutuskan tindakan cepat untuk memastikan presentasi tetap berjalan."", ""Menjaga semangat tim dan membuat situasi terasa terkendali."", ""Membantu anggota tim tetap tenang sambil mencari cara yang aman."", ""Mengecek sumber masalah dan memilih perbaikan yang paling akurat.""]",MEDIUM
DISC-V2-010,"Saat ide yang kamu sampaikan mendapat respons datar dari kelompok, kamu cenderung...",DISC,TARGET_I,BEHAVIORAL_SCENARIO_010,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Mencari cara lain untuk membuat ide tersebut menarik bagi mereka."", ""Mendengarkan keberatan mereka dan memberi ruang untuk mempertimbangkannya."", ""Menjelaskan alasan dan bukti pendukung agar ide dapat dinilai dengan jelas."", ""Mendorong kelompok menentukan apakah ide itu akan dijalankan atau tidak.""]",MEDIUM
