id,domain,subdomain,indicator,text,type,answerType,options,scoringKey,weight,difficulty
V11_7_11_DISC_001,Behavioral Scenario,Team Situation,Target Orientation,"Ketika target tim tertinggal dari rencana, Anda cenderung dalam rapat?",SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_002,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 2: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_003,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 3: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_004,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 4: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_005,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 5: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_006,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 6: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_007,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 7: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_008,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 8: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_009,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 9: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_010,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 10: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
