id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-C-001,C,Conventional,organization,Saya menikmati mengatur informasi agar mudah ditemukan kembali.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-002,C,Conventional,organization,"Saya tertarik menyusun dokumen, catatan, atau data secara teratur.",TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-003,C,Conventional,organization,Saya menikmati membuat sistem sederhana agar pekerjaan tersusun rapi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-004,C,Conventional,structure,Saya tertarik bekerja dengan prosedur yang jelas dan teratur.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-005,C,Conventional,structure,Saya menikmati mengikuti langkah kerja yang sudah tersusun dengan baik.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-006,C,Conventional,information_order,Saya tertarik mengelompokkan informasi berdasarkan kategori yang jelas.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-007,C,Conventional,information_order,Saya menikmati membuat daftar atau susunan informasi agar lebih mudah digunakan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-008,C,Conventional,information_order,Saya tertarik memastikan informasi tersimpan dalam urutan yang mudah dipahami.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-009,C,Conventional,accuracy,Saya menikmati kegiatan yang membutuhkan ketelitian dalam memeriksa detail.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-010,C,Conventional,accuracy,Saya tertarik memastikan data atau dokumen tersusun dengan benar sebelum digunakan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-R001,C,Conventional,organization,Saya menikmati menjaga dokumen atau informasi tetap tersusun rapi.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-R002,C,Conventional,structure,Saya tertarik pada pekerjaan yang memiliki aturan dan alur yang jelas.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-R003,C,Conventional,information_order,Saya menikmati mengatur data agar mudah diperiksa dan digunakan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-C-R004,C,Conventional,accuracy,Saya tertarik memeriksa kembali detail sebelum menyatakan sebuah pekerjaan selesai.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
