id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
EQ-V2-001,EMOTION_AWARENESS,,EA-001,"Saat rapat, rekan Anda menyampaikan kritik yang cukup tajam terhadap ide Anda. Anda mulai merasa tersinggung. Apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Mengabaikan perasaan itu dan langsung membalas kritiknya.||Menyadari bahwa Anda tersinggung sebelum memutuskan respons.||Menghentikan rapat karena kritik tersebut tidak menyenangkan.||Menganggap kritik itu pasti merupakan serangan pribadi.,,"1,4,2,3",1,MEDIUM
EQ-V2-002,EMOTION_AWARENESS,,EA-002,Anda tiba-tiba kehilangan semangat mengerjakan tugas setelah menerima pesan singkat dari seseorang. Apa langkah yang paling membantu?,SCENARIO,SINGLE_CHOICE_4,Langsung menyimpulkan bahwa orang tersebut sedang marah.||Membalas pesan dengan nada yang sama agar perasaan Anda tersalurkan.||Memperhatikan perubahan emosi Anda dan mencari kemungkinan pemicunya.||Mengabaikan perubahan perasaan sampai tugas selesai.,,"1,2,4,3",1,MEDIUM
EQ-V2-003,EMOTION_AWARENESS,,EA-003,"Menjelang presentasi penting, Anda merasa gelisah dan sulit berkonsentrasi. Apa yang paling menunjukkan kesadaran emosi?",SCENARIO,SINGLE_CHOICE_4,Mengenali kegelisahan dan mempertimbangkan bagaimana hal itu memengaruhi fokus Anda.||Berpura-pura tidak gugup agar terlihat percaya diri.||Membatalkan presentasi agar tidak merasakan tekanan.||Meminta orang lain mengambil alih tanpa memahami penyebabnya.,,"4,3,1,2",1,MEDIUM
EQ-V2-004,EMOTION_AWARENESS,,EA-004,"Setelah berdiskusi dengan teman, Anda merasa kesal tetapi tidak yakin penyebabnya. Apa respons terbaik?",SCENARIO,SINGLE_CHOICE_4,Segera mengatakan bahwa teman Anda pasti salah.||Mencoba mengidentifikasi bagian percakapan yang memicu rasa kesal.||Menghindari teman tersebut tanpa memikirkan perasaan Anda.||Menyalahkan suasana hati tanpa mencari konteksnya.,,"1,4,2,3",1,MEDIUM
EQ-V2-005,EMOTION_AWARENESS,,EA-005,"Anda mendapat kabar baik, tetapi tetap merasa tegang karena memikirkan pekerjaan lain. Apa yang paling tepat?",SCENARIO,SINGLE_CHOICE_4,Menganggap rasa tegang berarti kabar baik itu tidak berarti.||Menyembunyikan rasa tegang dan memaksa diri merasa senang.||Mengenali bahwa beberapa emosi dapat muncul bersamaan dan memengaruhi perilaku.||Mengabaikan semua perasaan dan langsung kembali bekerja.,,"1,2,4,3",1,MEDIUM
EQ-V2-006,EMOTION_AWARENESS,,EA-006,Anda menyadari diri menjadi lebih mudah tersinggung selama beberapa hari terakhir. Apa langkah yang paling berguna?,SCENARIO,SINGLE_CHOICE_4,Menganggap orang lain memang semakin mengganggu.||Memperhatikan pola perubahan emosi dan situasi yang menyertainya.||Mengurangi komunikasi dengan semua orang tanpa evaluasi.||Menunggu sampai emosi tersebut hilang sendiri.,,"1,4,2,3",1,MEDIUM
EQ-V2-007,EMOTION_REGULATION,,ER-007,"Dalam diskusi, seseorang memotong pembicaraan Anda berulang kali. Anda mulai marah. Apa respons paling konstruktif?",SCENARIO,SINGLE_CHOICE_4,Meninggikan suara agar orang tersebut berhenti.||Menghentikan pembicaraan dan pergi tanpa penjelasan.||Mengambil jeda singkat lalu menyampaikan keberatan dengan tenang.||Membalas dengan memotong pembicaraannya.,,"2,1,4,3",1,MEDIUM
EQ-V2-008,EMOTION_REGULATION,,ER-008,Anda menerima kritik yang membuat Anda kecewa tepat sebelum harus menyelesaikan tugas. Apa yang paling membantu?,SCENARIO,SINGLE_CHOICE_4,Membiarkan kekecewaan menentukan keputusan berikutnya.||Mengambil waktu singkat untuk menenangkan diri lalu kembali ke tugas.||Menolak semua kritik karena sedang kecewa.||Menunda semua pekerjaan sampai perasaan benar-benar hilang.,,"1,4,2,3",1,MEDIUM
EQ-V2-009,EMOTION_REGULATION,,ER-009,Seorang pelanggan berbicara dengan nada tinggi karena masalah yang bukan sepenuhnya kesalahan Anda. Apa respons terbaik?,SCENARIO,SINGLE_CHOICE_4,"Membalas dengan nada tinggi agar posisi Anda jelas.||Mengakhiri percakapan seketika.||Menahan emosi, memahami masalah, lalu merespons bagian yang dapat Anda tangani.||Menyalahkan pelanggan karena tidak memahami proses.",,"2,1,4,3",1,MEDIUM
EQ-V2-010,EMOTION_REGULATION,,ER-010,Anda sangat ingin mengirim pesan saat sedang marah kepada rekan kerja. Apa pilihan yang paling membantu?,SCENARIO,SINGLE_CHOICE_4,"Mengirim segera agar perasaan tersampaikan.||Menulis pesan, memberi jeda, lalu meninjaunya kembali sebelum mengirim.||Meminta rekan lain mengirim pesan tersebut.||Tidak pernah membicarakan masalah itu lagi.",,"1,4,2,3",1,MEDIUM
