ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-0601,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0602,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0603,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0604,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0605,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0606,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0607,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0608,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0609,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0610,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0611,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0612,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0613,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0614,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0615,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0616,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0617,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0618,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0619,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0620,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0621,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0622,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0623,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0624,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0625,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0626,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0627,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0628,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0629,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0630,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0631,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0632,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0633,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0634,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0635,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0636,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
