id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,review_flags,content_review_note
RIASEC-R-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
RIASEC-R-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,TARGET,APPROVED,REVIEW_REQUIRED,,,Mapping fields structurally complete; substantive content review required.
