id,domain,subdomain,indicator,text,type,answerType,scale,scoringKey,reverseScore,weight,difficulty
RIASEC-V2-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
RIASEC-V2-011,I,Investigative,curiosity,Saya tertarik mencari tahu mengapa suatu hal dapat terjadi.,PREFERENCE,LIKERT_5,"[1,2,3,4,5]","[1,2,3,4,5]",False,1,MEDIUM
