id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
DISC-015,DISC,TARGET_D,Autonomy,"Dalam pekerjaan yang sudah jelas tujuannya, Anda paling nyaman ketika menerima umpan balik?",SCENARIO,SINGLE_CHOICE_4,Memiliki ritme kerja yang stabil dan dapat diprediksi||Memiliki prosedur dan standar yang jelas||Memiliki kebebasan menentukan cara mencapai hasil||Memiliki banyak interaksi dengan orang lain,,"1,2,3,4",1.0,MEDIUM
DISC-016,DISC,TARGET_D,Decisiveness,"Saat tim menghadapi pilihan yang harus diputuskan hari ini, Anda biasanya saat bekerja mandiri?",SCENARIO,SINGLE_CHOICE_4,Mengumpulkan banyak data dan menunda keputusan sampai semuanya lengkap||Menentukan pilihan yang paling tegas dan langsung menjalankannya||Mengajak semua orang berdiskusi santai sebelum memilih||Menunggu arahan agar tidak salah langkah,,"1,2,3,4",1.0,HARD
DISC-017,DISC,TARGET_D,Results Orientation,"Ketika target tim tertinggal dari rencana, Anda cenderung ketika prosedur berubah?",SCENARIO,SINGLE_CHOICE_4,Mendorong tim mengambil tindakan cepat untuk mengejar target||Mencari cara membuat suasana tim tetap menyenangkan||Menjaga ritme kerja agar tidak membuat anggota tim kewalahan||Memeriksa kembali proses untuk menemukan penyebab keterlambatan,,"1,2,3,4",1.0,EASY
DISC-018,DISC,TARGET_D,Challenge Seeking,"Jika mendapat tugas yang jauh lebih sulit dari biasanya, Anda cenderung dalam situasi yang mendesak?",SCENARIO,SINGLE_CHOICE_4,Mencari teman untuk mengerjakannya bersama||Meminta waktu untuk menyesuaikan diri dengan perubahan||Mempelajari semua prosedur terlebih dahulu||Menganggapnya sebagai tantangan yang perlu ditaklukkan,,"1,2,3,4",1.0,MEDIUM
DISC-040,DISC,TARGET_I,Recognition,"Setelah berhasil menyelesaikan proyek, Anda paling menikmati ketika ketika menerima umpan balik?",SCENARIO,SINGLE_CHOICE_4,Tim merasa puas karena bekerja bersama dengan baik||Hasilnya memenuhi standar kualitas yang ditetapkan||Hasilnya dibagikan dan mendapat respons positif dari banyak orang||Targetnya tercapai lebih tinggi dari yang ditetapkan,,"1,2,3,4",1.0,MEDIUM
DISC-041,DISC,TARGET_I,Persuasion,"Ketika perlu meyakinkan orang lain tentang sebuah ide, Anda biasanya saat bekerja mandiri?",SCENARIO,SINGLE_CHOICE_4,Menyajikan bukti dan rincian secara sistematis||Menjelaskan manfaatnya dengan antusias dan membangun ketertarikan||Langsung mengambil keputusan tanpa banyak penjelasan||Memberi waktu agar orang lain merasa nyaman terlebih dahulu,,"1,2,3,4",1.0,HARD
DISC-042,DISC,TARGET_I,Enthusiasm,"Saat memulai proyek baru bersama tim, Anda cenderung ketika prosedur berubah?",SCENARIO,SINGLE_CHOICE_4,Membangkitkan semangat dan mengajak orang melihat peluangnya||Menetapkan target dan meminta semua orang segera bergerak||Memastikan setiap anggota merasa didukung||Membuat rencana kerja yang rinci sebelum memulai,,"1,2,3,4",1.0,EASY
DISC-043,DISC,TARGET_I,Social Interaction,"Dalam acara dengan banyak orang yang belum dikenal, Anda biasanya dalam situasi yang mendesak?",SCENARIO,SINGLE_CHOICE_4,Mencari orang yang dapat membantu mencapai tujuan acara||Memilih beberapa orang untuk diajak berbicara lebih mendalam||Mengamati situasi terlebih dahulu sebelum berinteraksi||Mudah memulai percakapan dan memperkenalkan diri,,"1,2,3,4",1.0,MEDIUM
DISC-065,DISC,TARGET_S,Change Adaptation,"Ketika perusahaan mengganti prosedur kerja, Anda cenderung ketika menerima umpan balik?",SCENARIO,SINGLE_CHOICE_4,Membicarakan perubahan dengan rekan kerja||Membaca aturan baru secara rinci sebelum menerapkannya||Mempelajari perubahan secara bertahap dan membantu tim beradaptasi||Langsung mencoba cara baru untuk melihat hasilnya,,"1,2,3,4",1.0,MEDIUM
DISC-066,DISC,TARGET_S,Patience,"Ketika rekan kerja membutuhkan waktu lebih lama untuk menyelesaikan tugas, Anda biasanya saat bekerja mandiri?",SCENARIO,SINGLE_CHOICE_4,Membantu memeriksa langkah kerja agar kesalahannya berkurang||Memberinya waktu dan dukungan agar dapat menyelesaikannya dengan baik||Mendorongnya segera mengambil keputusan||Mengajaknya berbicara untuk menjaga semangat,,"1,2,3,4",1.0,HARD
