id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-E-001,E,Enterprising,influence,Saya tertarik menyampaikan gagasan agar orang lain tertarik mempertimbangkannya.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-002,E,Enterprising,influence,Saya menikmati situasi ketika saya perlu meyakinkan orang lain tentang sebuah ide.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-003,E,Enterprising,influence,Saya tertarik memengaruhi arah suatu kegiatan melalui gagasan atau keputusan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-004,E,Enterprising,leadership,Saya tertarik mengambil peran untuk mengarahkan sebuah kegiatan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-005,E,Enterprising,leadership,Saya menikmati kesempatan untuk mengoordinasikan orang lain menuju suatu tujuan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-006,E,Enterprising,initiative,Saya tertarik memulai kegiatan atau proyek tanpa harus selalu menunggu instruksi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-007,E,Enterprising,initiative,Saya menikmati mencari peluang baru untuk membuat sesuatu dapat berjalan lebih baik.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-008,E,Enterprising,initiative,Saya tertarik mengambil langkah pertama ketika melihat sebuah peluang.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-009,E,Enterprising,persuasion,Saya menikmati kegiatan yang melibatkan negosiasi atau membangun kesepakatan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-010,E,Enterprising,persuasion,Saya tertarik menyusun cara penyampaian yang membuat orang lain bersedia bekerja sama.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-R001,E,Enterprising,influence,Saya tertarik mengajak orang lain melihat peluang dari sebuah gagasan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-R002,E,Enterprising,leadership,Saya menikmati mengambil tanggung jawab untuk mengarahkan suatu kegiatan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-R003,E,Enterprising,initiative,Saya tertarik mengubah sebuah peluang menjadi kegiatan yang nyata.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-E-R004,E,Enterprising,persuasion,Saya menikmati mencari titik temu ketika perlu mendapatkan persetujuan dari orang lain.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
