id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-S-001,S,Social,helping,Saya tertarik membantu orang lain mengatasi kesulitan yang mereka hadapi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-002,S,Social,helping,Saya menikmati kegiatan yang membuat orang lain merasa terbantu.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-003,S,Social,helping,Saya tertarik memahami kebutuhan seseorang agar dapat memberikan bantuan yang sesuai.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-004,S,Social,teaching,Saya menikmati menjelaskan sesuatu kepada orang yang sedang belajar.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-005,S,Social,teaching,Saya tertarik membantu orang lain memahami keterampilan atau pengetahuan baru.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-006,S,Social,communication,Saya menikmati berdiskusi untuk memahami cara berpikir orang lain.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-007,S,Social,communication,Saya tertarik mendengarkan pengalaman orang lain dan menanggapinya dengan baik.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-008,S,Social,communication,Saya menikmati kegiatan yang banyak melibatkan interaksi dengan orang lain.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-009,S,Social,development,Saya tertarik membantu seseorang mengembangkan kemampuan yang dimilikinya.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-010,S,Social,development,Saya menikmati kegiatan yang mendorong orang lain menjadi lebih berkembang.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-R001,S,Social,helping,Saya menikmati menjadi orang yang dapat diandalkan ketika orang lain membutuhkan bantuan.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-R002,S,Social,teaching,Saya tertarik menjelaskan suatu hal dengan cara yang sesuai dengan orang yang belajar.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-R003,S,Social,communication,Saya menikmati percakapan yang membantu saya memahami pengalaman orang lain.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-S-R004,S,Social,development,Saya tertarik mendukung orang lain ketika mereka sedang berusaha meningkatkan kemampuannya.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
