id,domain,subdomain,indicator,text,type,answerType,scale,scoringKey,reverseScore,weight,difficulty
V11_7_11_RIASEC_001,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 1: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_002,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 2: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_003,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 3: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_004,Social,Interest Activity,Activity Preference,Fixture RIASEC item 4: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_005,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 5: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_006,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 6: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_007,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 7: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_008,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 8: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_009,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 9: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_010,Social,Interest Activity,Activity Preference,Fixture RIASEC item 10: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_011,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 11: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
