id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,review_flags,reviewer_note
RIASEC-R-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-R-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-001,I,Investigative,curiosity,Saya tertarik mencari tahu mengapa suatu hal dapat terjadi.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-002,I,Investigative,curiosity,Saya menikmati menemukan penjelasan di balik sesuatu yang belum saya pahami.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-003,I,Investigative,curiosity,Saya sering tertarik pada pertanyaan yang belum memiliki jawaban sederhana.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-004,I,Investigative,analysis,Saya menikmati membandingkan informasi untuk menemukan pola atau perbedaan.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-005,I,Investigative,analysis,Saya tertarik menganalisis informasi sebelum menarik kesimpulan.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-006,I,Investigative,analysis,Saya menikmati memahami hubungan antara berbagai fakta atau informasi.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-007,I,Investigative,investigation,Saya tertarik melakukan pencarian informasi untuk menguji dugaan.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-008,I,Investigative,investigation,Saya menikmati menyelidiki suatu masalah sampai menemukan penjelasan yang masuk akal.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-009,I,Investigative,problem_solving,Saya tertarik menggunakan logika untuk menemukan solusi atas masalah yang rumit.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-I-010,I,Investigative,problem_solving,Saya menikmati memecah masalah menjadi bagian-bagian yang lebih kecil untuk dipahami.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-001,A,Artistic,creativity,Saya tertarik menciptakan sesuatu dengan cara yang berbeda dari biasanya.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-002,A,Artistic,creativity,Saya menikmati mencoba ide baru ketika membuat sesuatu.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-003,A,Artistic,creativity,Saya tertarik menemukan berbagai kemungkinan sebelum memilih satu cara untuk berkarya.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-004,A,Artistic,expression,"Saya menikmati menyampaikan gagasan melalui tulisan, gambar, musik, atau bentuk ekspresi lainnya.",TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-005,A,Artistic,expression,Saya tertarik menggunakan cara yang kreatif untuk menyampaikan apa yang saya pikirkan.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-006,A,Artistic,originality,Saya senang menghasilkan ide atau karya yang memiliki ciri khas saya sendiri.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-007,A,Artistic,originality,Saya tertarik mencoba pendekatan yang tidak biasa untuk menghasilkan sesuatu.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-008,A,Artistic,originality,Saya menikmati mengembangkan konsep yang berbeda dari contoh yang sudah ada.,TARGET,APPROVED,APPROVED,APPROVE,,
RIASEC-A-009,A,Artistic,aesthetics,"Saya tertarik memperhatikan komposisi, bentuk, warna, atau tampilan ketika membuat sesuatu.",TARGET,APPROVED,APPROVED,APPROVE,,
