id,domain,subdomain,indicator,text,role,mapping_review_status,content_review_status,decision,reviewer_note
RIASEC-R-001,R,Realistic,hands_on,Saya tertarik membuat atau memperbaiki benda dengan menggunakan tangan.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-002,R,Realistic,hands_on,Saya menikmati kegiatan yang hasilnya dapat saya lihat atau gunakan secara langsung.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-003,R,Realistic,hands_on,Saya lebih tertarik mencoba melakukan sesuatu secara langsung daripada hanya membahasnya.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-004,R,Realistic,tools_equipment,Saya tertarik mempelajari cara menggunakan alat atau peralatan tertentu.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-005,R,Realistic,tools_equipment,"Saya menikmati kegiatan yang melibatkan mesin, perangkat, atau peralatan kerja.",TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-006,R,Realistic,practical_problem_solving,Saya tertarik mencari cara praktis untuk memperbaiki sesuatu yang tidak berfungsi.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-007,R,Realistic,practical_problem_solving,Saya menikmati menyelesaikan masalah yang membutuhkan tindakan langsung.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-008,R,Realistic,practical_problem_solving,Saya tertarik memahami cara kerja benda agar dapat menggunakannya dengan lebih baik.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-009,R,Realistic,physical_environment,Saya tertarik melakukan kegiatan di lingkungan yang banyak melibatkan objek atau pekerjaan nyata.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-010,R,Realistic,physical_environment,Saya menikmati aktivitas yang membuat saya banyak berinteraksi dengan lingkungan fisik.,TARGET,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-R001,R,Realistic,hands_on,Saya tertarik belajar menggunakan keterampilan praktis untuk menghasilkan sesuatu yang dapat dipakai.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-R002,R,Realistic,tools_equipment,Saya menikmati mencoba berbagai peralatan untuk memahami kegunaannya.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-R003,R,Realistic,practical_problem_solving,Saya tertarik mencari solusi langsung ketika sebuah benda atau perangkat mengalami masalah.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
RIASEC-R-R004,R,Realistic,physical_environment,Saya tertarik pada kegiatan yang dilakukan di lingkungan kerja yang nyata dan konkret.,RESERVE,PENDING_REVIEW,PENDING_REVIEW,,
