id,domain,subdomain,indicator,role,mapping_review_status,mapping_decision,reviewer_note
RIASEC-R-001,R,Realistic,hands_on,TARGET,PENDING_REVIEW,,
RIASEC-R-002,R,Realistic,hands_on,TARGET,PENDING_REVIEW,,
RIASEC-R-003,R,Realistic,hands_on,TARGET,PENDING_REVIEW,,
RIASEC-R-004,R,Realistic,tools_equipment,TARGET,PENDING_REVIEW,,
RIASEC-R-005,R,Realistic,tools_equipment,TARGET,PENDING_REVIEW,,
RIASEC-R-006,R,Realistic,practical_problem_solving,TARGET,PENDING_REVIEW,,
RIASEC-R-007,R,Realistic,practical_problem_solving,TARGET,PENDING_REVIEW,,
RIASEC-R-008,R,Realistic,practical_problem_solving,TARGET,PENDING_REVIEW,,
RIASEC-R-009,R,Realistic,physical_environment,TARGET,PENDING_REVIEW,,
RIASEC-R-010,R,Realistic,physical_environment,TARGET,PENDING_REVIEW,,
RIASEC-I-001,I,Investigative,curiosity,TARGET,PENDING_REVIEW,,
RIASEC-I-002,I,Investigative,curiosity,TARGET,PENDING_REVIEW,,
RIASEC-I-003,I,Investigative,curiosity,TARGET,PENDING_REVIEW,,
RIASEC-I-004,I,Investigative,analysis,TARGET,PENDING_REVIEW,,
RIASEC-I-005,I,Investigative,analysis,TARGET,PENDING_REVIEW,,
RIASEC-I-006,I,Investigative,analysis,TARGET,PENDING_REVIEW,,
RIASEC-I-007,I,Investigative,investigation,TARGET,PENDING_REVIEW,,
RIASEC-I-008,I,Investigative,investigation,TARGET,PENDING_REVIEW,,
RIASEC-I-009,I,Investigative,problem_solving,TARGET,PENDING_REVIEW,,
RIASEC-I-010,I,Investigative,problem_solving,TARGET,PENDING_REVIEW,,
RIASEC-A-001,A,Artistic,creativity,TARGET,PENDING_REVIEW,,
RIASEC-A-002,A,Artistic,creativity,TARGET,PENDING_REVIEW,,
RIASEC-A-003,A,Artistic,creativity,TARGET,PENDING_REVIEW,,
RIASEC-A-004,A,Artistic,expression,TARGET,PENDING_REVIEW,,
RIASEC-A-005,A,Artistic,expression,TARGET,PENDING_REVIEW,,
RIASEC-A-006,A,Artistic,originality,TARGET,PENDING_REVIEW,,
RIASEC-A-007,A,Artistic,originality,TARGET,PENDING_REVIEW,,
RIASEC-A-008,A,Artistic,originality,TARGET,PENDING_REVIEW,,
RIASEC-A-009,A,Artistic,aesthetics,TARGET,PENDING_REVIEW,,
RIASEC-A-010,A,Artistic,aesthetics,TARGET,PENDING_REVIEW,,
