id,domain,subdomain,indicator,text,type,reverseScore,weight,scale,scoringKey,difficulty,status,mappingStatus,sourceFile,role
RIASEC-R-R001,R,Realistic,hands_on,Saya tertarik belajar menggunakan keterampilan praktis untuk menghasilkan sesuatu yang dapat dipakai.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R002,R,Realistic,tools_equipment,Saya menikmati mencoba berbagai peralatan untuk memahami kegunaannya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R003,R,Realistic,practical_problem_solving,Saya tertarik mencari solusi langsung ketika sebuah benda atau perangkat mengalami masalah.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R004,R,Realistic,physical_environment,Saya tertarik pada kegiatan yang dilakukan di lingkungan kerja yang nyata dan konkret.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R001,I,Investigative,curiosity,Saya menikmati mencari jawaban atas pertanyaan yang membuat saya penasaran.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R002,I,Investigative,analysis,Saya tertarik menelaah informasi secara rinci sebelum memutuskan apa yang berarti.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R003,I,Investigative,investigation,Saya menikmati mengumpulkan bukti untuk memahami sebuah persoalan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R004,I,Investigative,problem_solving,Saya tertarik mencari penjelasan logis ketika menghadapi persoalan yang kompleks.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R001,A,Artistic,creativity,Saya menikmati mengembangkan beberapa ide sebelum menentukan karya yang akan dibuat.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R002,A,Artistic,expression,Saya tertarik menggunakan media kreatif untuk menyampaikan sebuah pesan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
