id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
V11_7_11_EQ_001,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 1: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_002,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 2: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_003,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 3: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_004,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 4: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_005,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 5: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_006,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 6: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_007,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 7: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_008,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 8: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_009,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 9: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_010,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 10: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_011,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 11: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_012,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 12: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_013,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 13: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_014,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 14: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_015,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 15: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_016,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 16: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_017,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 17: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_018,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 18: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_019,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 19: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_020,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 20: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_021,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 21: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_022,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 22: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_023,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 23: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_024,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 24: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_025,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 25: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_026,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 26: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
V11_7_11_EQ_027,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 27: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,3,1,1,MEDIUM
V11_7_11_EQ_028,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 28: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,4,1,1,MEDIUM
V11_7_11_EQ_029,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 29: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,1,1,1,MEDIUM
V11_7_11_EQ_030,Emotional Awareness,Self Awareness,Emotional Response,Fixture EQ item 30: pilih jawaban yang paling sesuai. ,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,2,1,1,MEDIUM
