id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
DISC-V2-001,DISC,TARGET_D,BEHAVIORAL_SCENARIO_001,"Saat proyek tim mulai terlambat dari jadwal, apa yang paling mungkin kamu lakukan lebih dulu?",SCENARIO,SINGLE_CHOICE_4,Menetapkan langkah yang harus segera dilakukan agar pekerjaan kembali bergerak.||Mengajak tim melihat sisi positif situasi agar energi tetap terjaga.||Mengecek kondisi anggota tim dan membantu menjaga kerja sama tetap tenang.||Menelusuri penyebab keterlambatan dan memastikan detail rencana sebelum bertindak.,,"1,2,3,4",1,MEDIUM
DISC-V2-005,DISC,TARGET_D,BEHAVIORAL_SCENARIO_005,"Dalam sebuah kegiatan, pembagian tugas belum jelas sementara waktu terus berjalan. Kamu lebih mungkin...",SCENARIO,SINGLE_CHOICE_4,Menetapkan siapa mengerjakan apa dan langsung memulai.||Mendorong semua orang bergerak dengan suasana yang antusias.||Membantu menyusun pembagian yang terasa nyaman bagi semua anggota.||Memastikan dulu rincian tugas dan urutan kerja agar tidak ada yang terlewat.,,"1,2,3,4",1,MEDIUM
DISC-V2-009,DISC,TARGET_D,BEHAVIORAL_SCENARIO_009,"Jika kamu menemukan masalah penting tepat sebelum presentasi dimulai, kamu lebih mungkin...",SCENARIO,SINGLE_CHOICE_4,Memutuskan tindakan cepat untuk memastikan presentasi tetap berjalan.||Menjaga semangat tim dan membuat situasi terasa terkendali.||Membantu anggota tim tetap tenang sambil mencari cara yang aman.||Mengecek sumber masalah dan memilih perbaikan yang paling akurat.,,"1,2,3,4",1,MEDIUM
DISC-V2-013,DISC,TARGET_D,BEHAVIORAL_SCENARIO_013,"Dalam keadaan darurat kecil di kantor, kamu lebih mungkin...",SCENARIO,SINGLE_CHOICE_4,Mengambil peran mengatur tindakan sampai situasi kembali terkendali.||Mengajak orang tetap tenang dengan komunikasi yang positif.||Memastikan orang-orang di sekitar saling membantu dan tidak panik.||Mencari informasi faktual tentang apa yang terjadi sebelum menentukan tindakan.,,"1,2,3,4",1,MEDIUM
DISC-V2-017,DISC,TARGET_D,BEHAVIORAL_SCENARIO_017,"Jika anggota tim berulang kali menunda tugas penting, respons yang paling mungkin kamu ambil adalah...",SCENARIO,SINGLE_CHOICE_4,Menetapkan batas waktu yang tegas dan meminta komitmen tindakan.||Mengajak berbicara dengan cara yang membangkitkan motivasinya.||Mencari tahu hambatan yang ia hadapi dan membantu membuat langkah yang realistis.||Meninjau detail tugas untuk memastikan tidak ada instruksi atau kriteria yang membingungkan.,,"1,2,3,4",1,MEDIUM
DISC-V2-021,DISC,TARGET_D,BEHAVIORAL_SCENARIO_021,Kamu dipercaya memimpin kegiatan yang melibatkan banyak orang. Hal yang paling mungkin menjadi fokus awalmu adalah...,SCENARIO,SINGLE_CHOICE_4,"Menetapkan tujuan, prioritas, dan siapa yang bertanggung jawab atas tiap bagian.||Membangun antusiasme agar orang-orang bersemangat berkontribusi.||Memastikan koordinasi berjalan nyaman dan tidak ada anggota yang tertinggal.||Menetapkan prosedur dan detail pelaksanaan agar kualitas tetap terjaga.",,"1,2,3,4",1,MEDIUM
DISC-001,DISC,TARGET_D,Decisiveness,"Saat tim menghadapi pilihan yang harus diputuskan hari ini, Anda biasanya di tempat kerja?",SCENARIO,SINGLE_CHOICE_4,Menentukan pilihan yang paling tegas dan langsung menjalankannya||Mengajak semua orang berdiskusi santai sebelum memilih||Menunggu arahan agar tidak salah langkah||Mengumpulkan banyak data dan menunda keputusan sampai semuanya lengkap,,"1,2,3,4",1.0,EASY
DISC-002,DISC,TARGET_D,Results Orientation,"Ketika target tim tertinggal dari rencana, Anda cenderung dalam proyek tim?",SCENARIO,SINGLE_CHOICE_4,Mencari cara membuat suasana tim tetap menyenangkan||Menjaga ritme kerja agar tidak membuat anggota tim kewalahan||Memeriksa kembali proses untuk menemukan penyebab keterlambatan||Mendorong tim mengambil tindakan cepat untuk mengejar target,,"1,2,3,4",1.0,MEDIUM
DISC-003,DISC,TARGET_D,Challenge Seeking,"Jika mendapat tugas yang jauh lebih sulit dari biasanya, Anda cenderung saat menghadapi pelanggan?",SCENARIO,SINGLE_CHOICE_4,Meminta waktu untuk menyesuaikan diri dengan perubahan||Mempelajari semua prosedur terlebih dahulu||Menganggapnya sebagai tantangan yang perlu ditaklukkan||Mencari teman untuk mengerjakannya bersama,,"1,2,3,4",1.0,MEDIUM
DISC-004,DISC,TARGET_D,Assertiveness,"Saat Anda yakin sebuah keputusan kurang tepat, Anda biasanya ketika memimpin tugas?",SCENARIO,SINGLE_CHOICE_4,Menyertakan alasan dan bukti secara rinci||Menyampaikan keberatan secara langsung dan menawarkan keputusan alternatif||Menyampaikannya dengan cara yang membuat orang lain antusias||Menyampaikannya secara hati-hati agar hubungan tetap nyaman,,"1,2,3,4",1.0,HARD
DISC-005,DISC,TARGET_D,Autonomy,"Dalam pekerjaan yang sudah jelas tujuannya, Anda paling nyaman ketika bekerja dengan tenggat?",SCENARIO,SINGLE_CHOICE_4,Memiliki kebebasan menentukan cara mencapai hasil||Memiliki banyak interaksi dengan orang lain||Memiliki ritme kerja yang stabil dan dapat diprediksi||Memiliki prosedur dan standar yang jelas,,"1,2,3,4",1.0,EASY
