id,domain,subdomain,indicator,text,type,answerType,options,correctOption,scoringKey,weight,difficulty
V13_10_EQ_NEW_001,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_001,V13_10_EQ_EMOTION_AWARENESS_NEW_001,"Saat menerima pesan singkat yang terdengar dingin dari rekan kerja, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.||Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.||Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.,,"4,1,2,3",1,MEDIUM
V13_10_EQ_NEW_002,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_002,V13_10_EQ_EMOTION_AWARENESS_NEW_002,"Sebelum memimpin presentasi ketika tubuh terasa tegang, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.||Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.||Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.,,"1,2,3,4",1,MEDIUM
V13_10_EQ_NEW_003,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_003,V13_10_EQ_EMOTION_AWARENESS_NEW_003,"Setelah membaca komentar pelanggan yang membuatmu kecewa, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.||Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.||Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.,,"1,2,4,3",1,MEDIUM
V13_10_EQ_NEW_004,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_004,V13_10_EQ_EMOTION_AWARENESS_NEW_004,"Ketika tugas yang biasanya mudah tiba-tiba terasa berat, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.||Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.||Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.||Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.,,"1,4,2,3",1,MEDIUM
V13_10_EQ_NEW_005,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_005,V13_10_EQ_EMOTION_AWARENESS_NEW_005,"Saat ide beberapa kali dipotong dalam rapat, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.||Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.||Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.,,"4,1,2,3",1,MEDIUM
V13_10_EQ_NEW_006,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_006,V13_10_EQ_EMOTION_AWARENESS_NEW_006,"Setelah menyelesaikan tugas besar tetapi masih merasa gelisah, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.||Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.||Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.,,"1,2,3,4",1,MEDIUM
V13_10_EQ_NEW_007,EMOTION_AWARENESS,V13_10_EMOTION_AWARENESS_NEW_007,V13_10_EQ_EMOTION_AWARENESS_NEW_007,"Ketika kamu merasa senang sekaligus terbebani oleh permintaan bantuan, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Mengesampingkan perasaan tanpa mencoba mengenali pemicunya.||Menganggap rasa tidak nyaman sebagai bukti bahwa situasi pasti buruk.||Menyadari bahwa situasi itu memunculkan emosi tertentu sebelum menafsirkan maksud orang lain.||Langsung menilai niat orang lain berdasarkan emosi yang sedang muncul.,,"1,2,4,3",1,MEDIUM
V13_10_EQ_NEW_008,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_NEW_008,V13_10_EQ_EMOTION_REGULATION_NEW_008,"Saat menerima kritik keras tepat sebelum memimpin rapat, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Membiarkan nada emosi menentukan cara berbicara kepada orang lain.||Memberi jeda singkat untuk menenangkan reaksi lalu memilih respons yang sesuai tujuan.||Mengirim respons spontan agar tekanan emosi segera tersalurkan.||Menunda semua tindakan tanpa menentukan kapan masalah akan ditangani.,,"1,4,2,3",1,MEDIUM
V13_10_EQ_NEW_009,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_NEW_009,V13_10_EQ_EMOTION_REGULATION_NEW_009,"Ketika pelanggan berbicara dengan nada tinggi, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Memberi jeda singkat untuk menenangkan reaksi lalu memilih respons yang sesuai tujuan.||Mengirim respons spontan agar tekanan emosi segera tersalurkan.||Menunda semua tindakan tanpa menentukan kapan masalah akan ditangani.||Membiarkan nada emosi menentukan cara berbicara kepada orang lain.,,"4,1,2,3",1,MEDIUM
V13_10_EQ_NEW_010,EMOTION_REGULATION,V13_10_EMOTION_REGULATION_NEW_010,V13_10_EQ_EMOTION_REGULATION_NEW_010,"Saat menerima email yang membuat marah di tengah tenggat, apa respons yang paling membantu?",SCENARIO,SINGLE_CHOICE_4,Mengirim respons spontan agar tekanan emosi segera tersalurkan.||Menunda semua tindakan tanpa menentukan kapan masalah akan ditangani.||Membiarkan nada emosi menentukan cara berbicara kepada orang lain.||Memberi jeda singkat untuk menenangkan reaksi lalu memilih respons yang sesuai tujuan.,,"1,2,3,4",1,MEDIUM
